Número	Animal/Objeto	Medida	L/A
166	Maribel Verdú	centímetro	alta
167	Belén Esteban	centímetro	alta
168	Elijah Wood	centímetro	alta
169	Messi	centímetro	alta
170	la distacia Madrid-Cuenca	kilómetro	larga
171	una Llama	centímetro	alta
172	La sagrada familia	metro	alta
173	Rihanna	centímetro	alta
174	Antonio Banderas	centímetro	alta
175	Neymar	centímetro	alta
176	David Getta	centímetro	alta
177	Sylvester Stallone	centímetro	alta
178	Taylor Swift	centímetro	alta
179	Fran Perea	centímetro	alta
180	el Azzam, el yate más grande del mundo	metro	larga
181	el Cartel de Cullera	metro	larga
182	el Monumento a Sardar Vallabhbhai (la estátua más alta del mundo)	metro	alta
183	Leonardo DiCaprio	centímetro	alta
184	Zapatero	centímetro	alta
185	Rafa Nadal	centímetro	alta
186	el Gran Hotel Bali	metro	alta
187	CR7, SIIIUUUUUUU	centímetro	alta
188	Ryan Reynolds	centímetro	alta
189	Sean Connery	centímetro	alta
190	un Atún	centímetro	larga
191	José Manuel Calderón	centímetro	alta
192	Gerard Piqué	centímetro	alta
193	Clint Eastwood	centímetro	alta
194	Jorge Fernandez	centímetro	alta
195	Liam Hemsworth	centímetro	alta
196	Dwane Johnson	centímetro	alta
197	Felipe IV	centímetro	alta
198	Rudy Fernández	centímetro	alta
199	Penn Jillette	centímetro	alta
200	un Avestruz hembra	centímetro	alta
201	Stephen Merchant	centímetro	alta
202	el Intempo	metro	alta
203	LeBron James	centímetro	alta
204	el Estadio Panathinaikó	metro	larga
205	la distacia Sevilla-Málaga	kilómetro	larga
206	Kristian Nairn	centímetro	alta
207	una Torre de Refrigeración	metro	alta
208	el asteroide Chiron	kilómetro	larga
209	la distancia Toledo-Albacete	kilómetro	larga
210	un Alce	centímetro	alta
211	la distancia Sevilla-Granada	kilómetro	larga
212	el SS Great Eastern	metro	larga
213	Pau Gasol	centímetro	alta
214	Rumeysa Gelgi, la mujer más alta del mundo	centímetro	alta
215	la distacia Madrid-Salamanca	kilómetro	larga
216	Marc Gasol	centímetro	larga
217	un Xenomorph	centímetro	alta
218		metro	
219	la distancia Almeria-Marbella	kilómetro	larga
220	una Morsa	centímetro	larga
221	el Ciclón Olivia	kilómetro	larga
222	la distancia Ovideo-Santiago de Compostela	kilómetro	larga
223	la distancia Madrid-Albacete	kilómetro	larga
224	la Torre Espacio	metro	alta
225	la distancia Soria-Madrid	kilómetro	larga
226		metro	
227	la distancia València-Murcia	kilómetro	larga
228		metro	
229		metro	
230	una Vaca	centímetro	larga
231	Sandre Elaine Allen, la mujer más alta de la historia	centímetro	alta
232		metro	
233		metro	
234		metro	
235	la distancia Granada-Murcia	kilómetro	larga
236	la Torres PwC	metro	alta
237		metro	
238	Frankenstein	centímetro	alta
239	la Tormenta Tropical Emily	kilómetro	larga
240	un Oso polar hembra	centímetro	larga
241		metro	
242		metro	
243		metro	
244	el Tower Bridge	metro	larga
245		metro	
246		metro	
247	el Puente romano de Córdoba	metro	larga
248	la Torre Cepsa	metro	alta
249	la Torre de Cristal	metro	alta
250	un Girasol	centímetro	alta
251	Sultan Kösen, el hombre más alto del mundo	centímetro	alta
252	el KIROV	metro	larga
253		metro	
254		metro	
255		metro	
256		metro	
257	el USS America	metro	larga
258		metro	
259		metro	
260	el Megatsunami de St. Helens	metro	alta
261	la distancia Alicante-Castellón de la Plana	kilómetro	larga
262		metro	
263	el YAMATO	metro	larga
264		metro	
265		metro	
266		metro	
267	la distancia Barcelona-Andorra	kilómetro	larga
268		metro	
269	el Titanic de eslora (largo)	metro	larga
270	el Ciclón Bhola	kilómetro	larga
271	el Mercy y Comfort, el barco hospital más grande del mundo	metro	larga
272	Robert Wadlow, el hombre más alto de la historia	centímetro	alta
273	la altura de un salto vertical en la Luna	centímetro	alta
274	el Pont Du Gard	metro	larga
275	la distancia València-Palma	kilómetro	larga
276		metro	
277	la distancia Barcelona-Palma	kilómetro	larga
278		metro	
279		metro	
280	un Avestruz macho	metro	alta
281		metro	
282		metro	
283		metro	
284	la cabeza del Colossal San Lorenzo	centímetro	alta
285	la distancia Valladolid-Pamplona	kilómetro	larga
286		metro	
287		metro	
288		metro	
289		metro	
290		metro	
291		metro	
292		metro	
293		metro	
294	la Línea de metro Madrid	kilómetro	larga
295		metro	
296		metro	
297		metro	
298	el puente Si o Se Pol	metro	larga
299	el Huracán Andrew	metro	larga
300	la Torre Eiffel	metro	alta
301	un dragón de Komodo	centímetro	larga
302		metro	
303		metro	
304	Minas Tirith	metro	alta
305	el Torres Obispado	metro	alta
306	la distancia París-Bruselas	kilómetro	larga
307	la distancia Barcelona-Zaragoza	kilómetro	larga
308	el edificio The Shard	metro	alta
309	la distancia València-Zaragoza	kilómetro	larga
310	un Albatros	centímetro	larga
311		metro	
312		metro	
313		metro	
